;Barri;Habitacions;Lavabo;Metres;Preu;TipusImmoble
3023;El Clot;;1;65;800 €;Piso
3024;Diagonal Mar - La Mar Bella;3;2;100;4.500 €;Piso
3025;Putget - Farró;2;1;70;1.100 €;Piso
3026;Gòtic;;1;51;1.162 €;Piso
3027;Horta;2;1;65;900 €;Ático
3028;Sant Gervasi - Galvany;2;2;80;1.750 €;Piso
3029;Les Corts;5;2;125;2.800 €;Apartamento
3030;Sagrada Família;3;2;95;2.000 €;Piso
3031;Dreta de l´Eixample;2;1;68;1.510 €;Piso
3032;Sant Gervasi - Bonanova;4;2;150;2.290 €;Piso
3033;Sant Gervasi - Galvany;3;2;80;1.300 €;Piso
3034;Sant Gervasi - Galvany;4;3;145;2.800 €;Piso
3035;Dreta de l´Eixample;;1;54;1.500 €;Piso
3036;Sarrià;3;3;190;3.250 €;Piso
3037;St. Pere - Sta. Caterina - El Born;;1;40;1.000 €;Ático
3038;Dreta de l´Eixample;;1;60;1.250 €;Apartamento
3039;Les Corts;2;2;73;1.450 €;Piso
3040;Dreta de l´Eixample;2;1;60;1.400 €;Piso
3041;Sarrià;2;1;75;1.200 €;Piso
3042;Sant Gervasi - Galvany;4;2;130;2.250 €;Piso
3043;Vila de Gràcia;;1;30;715 €;Loft
3044;Putget - Farró;2;1;70;1.400 €;Piso
3045;Dreta de l´Eixample;3;2;130;1.800 €;Piso
3046;Sagrada Família;3;1;70;1.150 €;Piso
3047;Vila de Gràcia;4;2;110;1.400 €;Piso
3048;Dreta de l´Eixample;3;2;87;2.500 €;Piso
3049;Poblenou;2;1;60;1.550 €;Piso
3050;Sant Ramon - Maternitat;4;2;157;1.850 €;Piso
3051;Guinardó;3;1;65;860 €;Piso
3052;St. Pere - Sta. Caterina - El Born;2;2;100;4.500 €;Piso
3053;Sant Ramon - Maternitat;;1;63;950 €;Piso
3054;Sagrada Família;3;1;87;900 €;Piso
3055;Vallvidrera - Tibidabo - Les Planes;3;3;138;1.500 €;Piso
3056;Sagrada Família;3;1;60;1.150 €;Piso
3057;Gòtic;2;2;95;1.850 €;Piso
3058;El Clot;5;2;160;1.800 €;Piso
3059;Sant Gervasi - Galvany;2;1;60;900 €;Piso
3060;Sant Gervasi - Galvany;2;1;60;900 €;Piso
3061;Sagrada Família;2;1;70;1.350 €;Piso
3062;Diagonal Mar - La Mar Bella;;1;50;1.300 €;Piso
3063;St. Pere - Sta. Caterina - El Born;3;1;68;1.200 €;Piso
3064;St. Pere - Sta. Caterina - El Born;3;1;68;1.200 €;Piso
3065;Glòries El Parc;4;2;100;2.350 €;Ático
3066;Sant Antoni;3;2;70;1.250 €;Piso
3067;Putget - Farró;2;2;70;1.200 €;Piso
3068;Raval;2;2;75;950 €;Piso
3069;Sant Gervasi - Galvany;6;3;416;3.500 €;Piso
3070;Raval;;1;40;800 €;Piso
3071;Dreta de l´Eixample;2;1;75;2.000 €;Piso
3072;Esquerra Baixa de l´Eixample;3;2;76;1.400 €;Piso
3073;Esquerra Alta de l´Eixample;2;2;140;2.000 €;Piso
3074;Sant Ramon - Maternitat;4;2;157;1.650 €;Apartamento
3075;Camp de l´Arpa;3;2;95;1.950 €;Piso
3076;Sarrià;4;3;289;8.156 €;Casa
3077;Tres Torres;5;4;386;7.000 €;Piso
3078;Raval;3;2;225;2.400 €;Piso
3079;Pedralbes;5;5;300;5.800 €;Piso
3080;Sagrada Família;;1;30;650 €;Apartamento
3081;Dreta de l´Eixample;;1;60;1.350 €;Ático
3082;Sagrada Família;3;1;78;1.100 €;Piso
3083;Gòtic;;1;50;1.450 €;Ático
3084;Sant Gervasi - Galvany;;1;50;1.200 €;Piso
3085;Vila de Gràcia;2;2;110;1.250 €;Piso
3086;Sagrada Família;3;1;70;1.100 €;Piso
3087;Les Corts;3;2;80;1.100 €;Piso
3088;Sant Gervasi - Galvany;2;1;45;825 €;Piso
3089;Les Corts;2;2;78;1.200 €;Piso
3090;Sant Antoni;2;1;60;1.200 €;Piso
3091;Sant Gervasi - Bonanova;3;1;120;1.522 €;Piso
3092;Sagrada Família;3;1;78;1.100 €;Piso
3093;Hostafrancs;3;2;115;1.200 €;Piso
3094;Camp d´en Grassot - Gràcia N.;2;1;70;1.100 €;Piso
3095;Sagrada Família;2;2;62;800 €;Apartamento
3096;Les Corts;4;2;150;2.500 €;Piso
3097;Sant Antoni;3;1;76;1.100 €;Piso
3098;Camp de l´Arpa;3;1;60;950 €;Apartamento
3099;Esquerra Alta de l´Eixample;2;1;61;1.500 €;Piso
3100;Sagrada Família;3;1;70;1.050 €;Piso
3101;Sant Gervasi - Galvany;4;3;162;3.200 €;Piso
3102;Horta;4;3;200;2.050 €;Casa
3103;Sant Gervasi - Galvany;4;2;180;2.400 €;Piso
3104;St. Pere - Sta. Caterina - El Born;3;2;99;1.450 €;Piso
3105;Dreta de l´Eixample;2;1;78;1.900 €;Piso
3106;Raval;;1;40;750 €;Loft
3107;Sarrià;3;1;85;1.500 €;Piso
3108;Dreta de l´Eixample;2;2;90;1.850 €;Piso
3109;Esquerra Alta de l´Eixample;2;2;100;1.650 €;Piso
3110;Esquerra Baixa de l´Eixample;2;1;60;1.050 €;Piso
3111;St. Pere - Sta. Caterina - El Born;;1;75;2.600 €;Piso
3112;Sant Gervasi - Bonanova;;1;55;1.100 €;Apartamento
3113;Camp d´en Grassot - Gràcia N.;3;1;75;1.050 €;Planta
3114;Dreta de l´Eixample;3;2;106;1.300 €;Piso
3115;Esquerra Baixa de l´Eixample;3;2;76;1.340 €;Piso
3116;Esquerra Alta de l´Eixample;2;2;100;1.650 €;Piso
3117;St. Pere - Sta. Caterina - El Born;2;2;80;1.700 €;Piso
3118;Esquerra Alta de l´Eixample;5;3;200;3.600 €;Piso
3119;La Verneda - La Pau;3;1;85;900 €;Piso
3120;Sant Gervasi - Galvany;3;2;120;2.300 €;Apartamento
3121;Vall d´Hebron;2;1;62;1.000 €;Piso
3122;Esquerra Alta de l´Eixample;3;1;69;1.500 €;Piso
3123;El Clot;4;2;105;1.520 €;Piso
3124;Sant Gervasi - Galvany;4;4;200;3.400 €;Piso
3125;Raval;;1;60;1.400 €;Piso
3126;Esquerra Alta de l´Eixample;3;2;85;1.712 €;Piso
3127;La Sagrera;3;;75;1.100 €;Piso
3128;Camp de l´Arpa;2;1;58;875 €;Piso
3129;Gòtic;;1;45;750 €;Piso
3130;Tres Torres;3;2;120;1.900 €;Piso
3131;Sagrada Família;3;1;75;1.100 €;Piso
3132;Esquerra Baixa de l´Eixample;3;2;90;1.290 €;Piso
3133;Pedralbes;4;2;100;1.390 €;Piso
3134;Vila de Gràcia;3;1;50;940 €;Piso
3135;Esquerra Baixa de l´Eixample;3;2;100;2.250 €;Piso
3136;Dreta de l´Eixample;2;2;76;1.700 €;Piso
3137;Camp d´en Grassot - Gràcia N.;4;2;96;1.300 €;Piso
3138;Dreta de l´Eixample;4;2;101;1.500 €;Piso
3139;Sarrià;3;2;135;2.350 €;Piso
3140;Raval;;1;45;850 €;Ático
3141;Gòtic;2;2;77;1.200 €;Piso
3142;Sant Gervasi - Galvany;;1;55;1.450 €;Piso
3143;Dreta de l´Eixample;;1;50;1.300 €;Apartamento
3144;Raval;;1;29;650 €;Piso
3145;Vallcarca - Penitents;3;2;98;1.250 €;Piso
3146;Poble Sec;2;1;65;850 €;Piso
3147;Sarrià;5;5;420;7.700 €;Casa
3148;Esquerra Baixa de l´Eixample;3;1;90;1.350 €;Piso
3149;Esquerra Alta de l´Eixample;3;1;68;1.700 €;Piso
3150;Raval;;1;45;710 €;Piso
3151;Gòtic;;1;59;1.105 €;Piso
3152;Gòtic;2;1;85;1.300 €;Apartamento
3153;Sant Gervasi - Galvany;5;5;400;4.500 €;Piso
3154;Esquerra Baixa de l´Eixample;6;2;217;1.900 €;Apartamento
3155;Vila de Gràcia;3;1;75;1.200 €;Piso
3156;El Coll;2;1;65;890 €;Piso
3157;Besòs - Maresme;;1;60;2.500 €;Piso
3158;Sant Antoni;;;107;1.400 €;Piso
3159;Porta;2;2;76;990 €;Planta
3160;Sant Gervasi - Bonanova;5;2;164;1.900 €;Piso
3161;Vila de Gràcia;4;2;133;2.000 €;Piso
3162;La Marina-Montjuïc;3;1;62;900 €;Piso
3163;St. Pere - Sta. Caterina - El Born;3;2;125;1.950 €;Apartamento
3164;Sant Gervasi - Bonanova;3;2;120;1.200 €;Piso
3165;St. Pere - Sta. Caterina - El Born;2;1;60;1.100 €;Piso
3166;Pedralbes;3;2;107;1.700 €;Piso
3167;Sant Gervasi - Galvany;3;2;120;2.900 €;Piso
3168;Sarrià;5;4;285;5.389 €;Piso
3169;Les Corts;2;1;74;1.300 €;Piso
3170;St. Pere - Sta. Caterina - El Born;;1;60;1.500 €;Piso
3171;Sant Gervasi - Bonanova;5;2;150;2.290 €;Piso
3172;Esquerra Alta de l´Eixample;;1;42;1.050 €;Ático
3173;Esquerra Alta de l´Eixample;3;2;90;1.500 €;Piso
3174;Esquerra Baixa de l´Eixample;;1;40;970 €;Piso
3175;Bon Pastor;2;1;50;825 €;Piso
3176;Sagrada Família;2;;73;1.300 €;Piso
3177;Esquerra Baixa de l´Eixample;2;2;100;2.000 €;Piso
3178;Raval;2;1;100;1.500 €;Piso
3179;Sant Gervasi - Galvany;;1;54;1.150 €;Apartamento
3180;Gòtic;;1;87;1.400 €;Loft
3181;Sant Gervasi - Bonanova;6;5;658;12.000 €;Casa
3182;Esquerra Alta de l´Eixample;3;3;180;2.200 €;Piso
3183;Les Corts;2;1;70;1.800 €;Piso
3184;Sagrada Família;3;1;81;1.200 €;Piso
3185;Dreta de l´Eixample;4;3;110;1.800 €;Piso
3186;Dreta de l´Eixample;3;2;132;3.500 €;Piso
3187;Pedralbes;3;2;87;1.550 €;Piso
3188;Esquerra Alta de l´Eixample;3;1;100;2.300 €;Piso
3189;Dreta de l´Eixample;2;2;60;1.800 €;Piso
3190;Carmel;2;1;65;850 €;Piso
3191;Esquerra Alta de l´Eixample;3;;139;1.450 €;Piso
3192;Dreta de l´Eixample;3;2;60;1.045 €;Piso
3193;Badal;4;2;70;1.100 €;Piso
3194;Sant Genís dels Agudells;3;1;70;900 €;Piso
3195;Dreta de l´Eixample;3;2;115;2.050 €;Piso
3196;Sagrada Família;2;1;50;1.500 €;Piso
3197;Gòtic;;1;55;840 €;Piso
3198;Besòs - Maresme;3;1;75;1.050 €;Piso
3199;Badal;4;2;70;1.100 €;Piso
3200;Sant Genís dels Agudells;3;1;70;900 €;Piso
3201;Raval;2;2;94;2.100 €;Piso
3202;Dreta de l´Eixample;2;1;67;1.610 €;Piso
3203;Pedralbes;3;2;277;5.500 €;Piso
3204;Sant Gervasi - Bonanova;3;2;145;2.200 €;Ático
3205;Gòtic;2;2;105;1.400 €;Piso
3206;Vila de Gràcia;2;1;57;850 €;Piso
3207;Raval;2;1;50;850 €;Piso
3208;Horta;3;2;80;1.100 €;Piso
3209;La Guineueta;3;1;80;950 €;Piso
3210;Sant Gervasi - Galvany;;1;85;1.380 €;Ático
3211;Dreta de l´Eixample;2;1;55;1.100 €;Ático
3212;Dreta de l´Eixample;3;3;142;2.299 €;Piso
3213;Tres Torres;3;2;145;1.850 €;Piso
3214;Raval;2;2;65;1.450 €;Piso
3215;Esquerra Baixa de l´Eixample;4;2;125;1.350 €;Piso
3216;Vila de Gràcia;;1;75;1.400 €;Piso
3217;Dreta de l´Eixample;2;2;107;1.850 €;Piso
3218;Putget - Farró;;1;50;600 €;Piso
3219;Camp d´en Grassot - Gràcia N.;3;1;65;1.225 €;Piso
3220;Putget - Farró;;1;60;1.100 €;Piso
3221;Putget - Farró;;1;60;1.100 €;Piso
3222;La Marina-Montjuïc;3;1;90;1.100 €;Piso
3223;Sarrià;;1;69;1.200 €;Piso
3224;Sant Gervasi - Galvany;2;1;70;1.250 €;Piso
3225;Sant Gervasi - Galvany;5;3;290;2.200 €;Piso
3226;La Marina-Montjuïc;3;3;150;1.690 €;Piso
3227;Dreta de l´Eixample;2;1;67;1.660 €;Piso
3228;Esquerra Baixa de l´Eixample;3;2;110;1.400 €;Piso
3229;Dreta de l´Eixample;;1;65;1.550 €;Ático
3230;Dreta de l´Eixample;2;2;115;2.500 €;Apartamento
3231;Porta;3;1;70;885 €;Piso
3232;Gòtic;2;1;85;1.550 €;Piso
3233;Les Corts;3;2;96;1.600 €;Piso
3234;Raval;2;1;50;1.200 €;Piso
3235;Diagonal Mar - La Mar Bella;;1;110;1.800 €;Apartamento
3236;Sant Gervasi - Galvany;2;1;85;2.500 €;Piso
3237;Sarrià;2;1;60;1.100 €;Piso
3238;Camp d´en Grassot - Gràcia N.;3;1;65;950 €;Piso
3239;Dreta de l´Eixample;5;2;170;2.800 €;Piso
3240;El Coll;2;1;50;675 €;Piso
3241;Sant Gervasi - Bonanova;4;0;1;18.432 €;Casa
3242;Tres Torres;5;3;243;3.500 €;Piso
3243;Vallcarca - Penitents;4;2;130;1.300 €;Piso
3244;Les Corts;4;2;122;1.500 €;Piso
3245;Sant Martí;2;2;65;1.020 €;Piso
3246;Sant Martí;2;2;65;1.050 €;Piso
3247;Fort Pienc;3;2;91;1.450 €;Piso
3248;Sant Ramon - Maternitat;3;1;85;1.200 €;Piso
3249;Sagrada Família;4;2;110;1.400 €;Piso
3250;Sant Gervasi - Galvany;4;3;210;2.600 €;Piso
3251;Pedralbes;4;2;113;1.500 €;Piso
3252;Vila de Gràcia;;1;30;715 €;Loft
3253;Besòs - Maresme;4;2;140;4.500 €;Ático
3254;Raval;2;1;45;850 €;Piso
3255;Sagrada Família;4;2;110;1.400 €;Piso
3256;Tres Torres;4;3;14;3.200 €;Piso
3257;Camp de l´Arpa;;1;60;1.149 €;Apartamento
3258;Esquerra Alta de l´Eixample;3;2;98;1.895 €;Piso
3259;Sant Gervasi - Galvany;2;1;60;1.925 €;Piso
3260;Gòtic;;1;60;1.350 €;Piso
3261;El Clot;4;2;95;1.520 €;Piso
3262;Carmel;2;1;50;820 €;Piso
3263;Porta;2;;66;990 €;Piso
3264;Dreta de l´Eixample;2;2;80;1.250 €;Piso
3265;Poble Sec;2;1;70;1.150 €;Piso
3266;La Salut;2;1;85;1.200 €;Piso
3267;Esquerra Alta de l´Eixample;2;2;80;1.950 €;Apartamento
3268;Sant Gervasi - Galvany;2;1;60;1.925 €;Piso
3269;Sarrià;4;2;100;1.950 €;Piso
3270;Vallcarca - Penitents;;1;70;1.190 €;Dúplex
3271;Fort Pienc;4;2;106;1.280 €;Piso
3272;Putget - Farró;4;2;90;1.400 €;Piso
3273;St. Pere - Sta. Caterina - El Born;2;1;60;1.200 €;Piso
3274;Putget - Farró;;1;50;950 €;Planta
3275;Horta;3;;59;850 €;Piso
3276;Camp d´en Grassot - Gràcia N.;3;1;68;995 €;Piso
3277;Sagrada Família;2;1;56;775 €;Piso
3278;Fort Pienc;4;1;110;1.395 €;Piso
3279;La Marina-Montjuïc;3;2;71;1.265 €;Piso
3280;Sarrià;;1;52;1.200 €;Piso
3281;Sant Gervasi - Galvany;3;2;120;2.200 €;Piso
3282;Raval;;1;56;875 €;Piso
3283;Dreta de l´Eixample;;1;45;1.500 €;Piso
3284;Guinardó;4;3;156;1.370 €;Piso
3285;Raval;;1;60;950 €;Piso
3286;Dreta de l´Eixample;2;2;70;1.250 €;Piso
3287;Taxonera;3;2;155;1.700 €;Ático
3288;Navas;3;2;94;1.100 €;Piso
3289;El Coll;3;1;72;1.150 €;Piso
3290;Gòtic;3;1;72;950 €;Piso
3291;Glòries El Parc;;1;30;900 €;Piso
3292;Sant Gervasi - Galvany;4;3;250;2.250 €;Piso
3293;Sant Gervasi - Galvany;4;3;190;4.300 €;Piso
3294;Dreta de l´Eixample;2;1;68;1.400 €;Piso
3295;Dreta de l´Eixample;2;2;85;1.225 €;Piso
3296;Poblenou;2;1;50;1.200 €;Piso
3297;La Bordeta;3;1;100;1.450 €;Piso
3298;Putget - Farró;2;1;60;1.350 €;Piso
3299;Dreta de l´Eixample;3;2;132;2.200 €;Piso
3300;Sant Gervasi - Galvany;3;2;114;1.700 €;Piso
3301;Pedralbes;4;2;100;1.390 €;Piso
3302;Dreta de l´Eixample;2;1;60;1.600 €;Piso
3303;Esquerra Alta de l´Eixample;3;2;90;1.600 €;Piso
3304;Dreta de l´Eixample;3;2;102;2.300 €;Piso
3305;Sant Martí;3;1;88;1.200 €;Piso
3306;Barceloneta;;2;35;750 €;Piso
3307;Vallcarca - Penitents;3;2;96;1.050 €;Piso
3308;Pedralbes;4;3;220;3.500 €;Piso
3309;Tres Torres;5;4;340;4.500 €;Ático
3310;Les Corts;4;3;150;2.200 €;Piso
3311;Dreta de l´Eixample;2;1;60;1.250 €;Piso
3312;Pedralbes;5;4;295;6.500 €;Dúplex
3313;Fort Pienc;4;2;100;1.600 €;Piso
3314;Sarrià;4;5;215;6.585 €;Piso
3315;Sagrada Família;2;2;75;1.500 €;Piso
3316;Les Corts;3;1;77;1.100 €;Piso
3317;Sant Gervasi - Bonanova;2;2;95;3.352 €;Piso
3318;Esquerra Baixa de l´Eixample;2;2;75;1.490 €;Piso
3319;Poble Sec;2;2;52;1.290 €;Apartamento
3320;Tres Torres;4;2;150;2.300 €;Piso
3321;Sagrada Família;2;1;58;1.350 €;Apartamento
3322;Raval;2;1;75;925 €;Piso
3323;Vila de Gràcia;3;2;80;1.100 €;Piso
3324;Esquerra Alta de l´Eixample;2;1;67;1.200 €;Piso
3325;St. Pere - Sta. Caterina - El Born;2;2;80;1.400 €;Piso
3326;Fort Pienc;4;3;130;2.000 €;Piso
3327;Sant Ramon - Maternitat;3;1;80;950 €;Piso
3328;Esquerra Alta de l´Eixample;2;1;77;1.387 €;Piso
3329;Sant Gervasi - Galvany;3;2;150;2.500 €;Ático
3330;Sant Gervasi - Galvany;3;2;150;2.500 €;Ático
3331;St. Pere - Sta. Caterina - El Born;;1;40;775 €;Loft
3332;Barceloneta;2;1;32;900 €;Apartamento
3333;Sant Gervasi - Galvany;;1;62;1.100 €;Piso
3334;St. Pere - Sta. Caterina - El Born;2;2;120;1.800 €;Apartamento
3335;Esquerra Alta de l´Eixample;2;2;63;1.095 €;Piso
3336;Camp d´en Grassot - Gràcia N.;3;2;85;1.300 €;Piso
3337;Vila de Gràcia;3;2;150;3.500 €;Piso
3338;Putget - Farró;4;2;107;1.750 €;Piso
3339;Sant Gervasi - Galvany;3;2;104;2.500 €;Piso
3340;Sant Gervasi - Galvany;;1;40;1.100 €;Apartamento
3341;Turó de la Peira - Can Peguera;3;1;75;1.100 €;Piso
3342;Dreta de l´Eixample;5;3;250;4.600 €;Piso
3343;St. Pere - Sta. Caterina - El Born;;;;1.200 €;Apartamento
3344;Diagonal Mar - La Mar Bella;3;2;116;1.900 €;Piso
3345;Poblenou;3;2;99;1.990 €;Dúplex
3346;Dreta de l´Eixample;5;3;250;4.600 €;Piso
3347;Sant Gervasi - Galvany;3;2;95;1.850 €;Piso
3348;Sant Gervasi - Bonanova;3;2;95;1.900 €;Piso
3349;La Marina-Montjuïc;;1;40;800 €;Piso
3350;Dreta de l´Eixample;2;1;84;1.175 €;Piso
3351;Dreta de l´Eixample;3;2;110;1.200 €;Piso
3352;Pedralbes;5;3;177;2.800 €;Piso
3353;Esquerra Alta de l´Eixample;4;2;100;1.500 €;Piso
3354;Provençals del Poblenou;;1;50;1.400 €;Piso
3355;Fort Pienc;3;2;100;2.150 €;Planta
3356;Esquerra Alta de l´Eixample;4;2;95;1.350 €;Piso
3357;Esquerra Alta de l´Eixample;3;2;100;2.500 €;Piso
3358;Les Corts;3;3;158;2.400 €;Piso
3359;Les Corts;3;1;95;1.575 €;Piso
3360;Les Corts;3;3;158;2.400 €;Piso
3361;Esquerra Alta de l´Eixample;2;1;77;1.000 €;Piso
3362;Camp de l´Arpa;;1;50;1.090 €;Ático
3363;Vila de Gràcia;;1;50;1.000 €;Piso
3364;Dreta de l´Eixample;;2;250;2.500 €;Piso
3365;Raval;2;1;75;980 €;Piso
3366;Camp de l´Arpa;3;2;208;1.450 €;Piso
3367;Sant Ramon - Maternitat;;2;85;1.175 €;Piso
3368;Sant Ramon - Maternitat;3;1;86;1.200 €;Loft
3369;St. Pere - Sta. Caterina - El Born;;2;40;750 €;Piso
3370;La Marina-Montjuïc;;1;49;690 €;Piso
3371;Sant Gervasi - Galvany;4;2;180;3.400 €;Ático
3372;Pedralbes;4;3;250;5.600 €;Apartamento
3373;St. Pere - Sta. Caterina - El Born;3;1;100;1.500 €;Piso
3374;Taxonera;2;1;50;750 €;Piso
3375;La Sagrera;2;1;61;1.030 €;Piso
3376;Poble Sec;3;2;71;1.400 €;Piso
3377;Sant Martí;3;2;99;1.220 €;Piso
3378;Sant Gervasi - Bonanova;;1;50;1.000 €;Piso
3379;Tres Torres;2;2;90;2.800 €;Piso
3380;Sant Gervasi - Galvany;3;2;60;1.650 €;Piso
3381;Dreta de l´Eixample;2;1;67;1.950 €;Piso
3382;Sant Gervasi - Bonanova;2;2;102;2.465 €;Piso
3383;Vila de Gràcia;;1;40;790 €;Piso
3384;Dreta de l´Eixample;2;3;80;2.000 €;Piso
3385;Sant Gervasi - Galvany;2;2;110;1.800 €;Piso
3386;Vila de Gràcia;2;2;75;1.300 €;Piso
3387;Poble Sec;;1;26;800 €;Loft
3388;Barceloneta;;1;35;950 €;Piso
3389;Sarrià;3;1;65;980 €;Piso
3390;Tres Torres;2;1;87;1.200 €;Piso
3391;Sant Gervasi - Bonanova;4;0;1;18.061 €;Casa
3392;Les Corts;3;2;107;2.500 €;Piso
3393;Sant Gervasi - Galvany;;1;40;1.150 €;Piso
3394;Vila de Gràcia;3;2;70;1.650 €;Apartamento
3395;La Marina-Montjuïc;;;90;1.500 €;Apartamento
3396;Sant Gervasi - Galvany;;1;50;900 €;Apartamento
3397;Sant Ramon - Maternitat;5;3;140;2.250 €;Piso
3398;Tres Torres;4;2;220;3.500 €;Piso
3399;Horta;4;2;110;1.100 €;Piso
3400;Dreta de l´Eixample;2;3;80;1.350 €;Piso
3401;Sant Gervasi - Bonanova;5;5;287;4.400 €;Piso
3402;Dreta de l´Eixample;3;2;200;2.350 €;Piso
3403;Les Corts;5;5;217;5.540 €;Piso
3404;Putget - Farró;2;1;75;980 €;Piso
3405;Esquerra Baixa de l´Eixample;2;1;7;950 €;Piso
3406;Gòtic;;1;70;1.500 €;Piso
3407;Pedralbes;4;3;187;3.500 €;Piso
3408;Esquerra Alta de l´Eixample;5;2;185;1.900 €;Piso
3409;Gòtic;3;3;130;2.350 €;Piso
3410;Camp d´en Grassot - Gràcia N.;2;2;68;1.295 €;Piso
3411;Poble Sec;2;1;65;1.295 €;Piso
3412;Sant Antoni;3;2;96;1.850 €;Apartamento
3413;Raval;;2;115;1.400 €;Loft
3414;Dreta de l´Eixample;;1;75;1.100 €;Piso
3415;Camp d´en Grassot - Gràcia N.;2;1;90;1.150 €;Piso
3416;Verdun;2;1;40;700 €;Piso
3417;Sants;3;2;116;1.990 €;Piso
3418;Dreta de l´Eixample;3;2;135;2.200 €;Piso
3419;Raval;2;1;50;1.300 €;Ático
3420;Vallvidrera - Tibidabo - Les Planes;6;3;300;3.500 €;Casa
3421;Tres Torres;2;2;75;1.375 €;Ático
3422;Sant Antoni;3;2;80;1.225 €;Piso
3423;Gòtic;3;2;110;1.700 €;Piso
3424;Esquerra Alta de l´Eixample;2;1;70;1.475 €;Piso
3425;Sant Ramon - Maternitat;3;2;120;1.500 €;Piso
3426;Sant Antoni;2;1;65;1.000 €;Piso
3427;St. Pere - Sta. Caterina - El Born;2;1;55;1.500 €;Piso
3428;Dreta de l´Eixample;2;1;75;1.450 €;Piso
3429;Dreta de l´Eixample;2;2;95;1.700 €;Piso
3430;Esquerra Baixa de l´Eixample;4;2;103;1.800 €;Piso
3431;Raval;;1;55;900 €;Apartamento
3432;Badal;3;2;80;1.300 €;Ático
3433;Sarrià;3;2;115;2.300 €;Apartamento
3434;Glòries El Parc;2;1;91;1.400 €;Piso
3435;Fort Pienc;3;1;85;950 €;Piso
3436;Dreta de l´Eixample;4;2;100;1.200 €;Piso
3437;Putget - Farró;3;1;70;1.200 €;Piso
3438;Vila de Gràcia;2;2;70;1.100 €;Dúplex
3439;Vila de Gràcia;3;2;93;1.675 €;Piso
3440;Sants;2;1;70;1.225 €;Piso
3441;Hostafrancs;2;1;55;880 €;Piso
3442;Esquerra Alta de l´Eixample;;1;80;875 €;Ático
3443;Dreta de l´Eixample;4;2;111;2.400 €;Apartamento
3444;Dreta de l´Eixample;2;2;80;2.150 €;Piso
3445;Carmel;3;1;90;950 €;Piso
3446;Sant Andreu;2;1;63;850 €;Piso
3447;Esquerra Alta de l´Eixample;3;2;94;2.500 €;Piso
3448;Sant Gervasi - Bonanova;5;3;170;2.600 €;Piso
3449;Dreta de l´Eixample;2;1;80;2.000 €;Piso
3450;Raval;2;1;65;1.000 €;Apartamento
3451;St. Pere - Sta. Caterina - El Born;3;1;90;1.200 €;Piso
3452;El Coll;4;1;89;950 €;Piso
3453;Esquerra Alta de l´Eixample;3;2;75;1.490 €;Piso
3454;Sagrada Família;3;1;77;1.150 €;Piso
3455;Dreta de l´Eixample;5;3;250;2.975 €;Piso
3456;Sant Ramon - Maternitat;3;2;110;1.500 €;Apartamento
3457;Sarrià;3;2;165;2.750 €;Apartamento
3458;Sant Gervasi - Bonanova;5;4;190;3.200 €;Apartamento
3459;Camp de l´Arpa;4;2;78;1.300 €;Piso
3460;Sant Gervasi - Bonanova;5;3;175;2.400 €;Piso
3461;Putget - Farró;4;2;107;1.750 €;Piso
3462;Esquerra Baixa de l´Eixample;2;3;108;2.400 €;Piso
3463;Camp de l´Arpa;2;2;65;900 €;Piso
3464;Dreta de l´Eixample;2;1;66;1.450 €;Piso
3465;Vallvidrera - Tibidabo - Les Planes;3;2;120;1.950 €;Dúplex
3466;Vila Olímpica;;1;45;1.000 €;Piso
3467;El Coll;2;1;94;1.145 €;Piso
3468;Esquerra Alta de l´Eixample;2;1;70;1.450 €;Piso
3469;Dreta de l´Eixample;3;2;90;1.400 €;Piso
3470;Sarrià;3;3;180;5.500 €;Casa
3471;Raval;2;2;110;1.300 €;Piso
3472;Fort Pienc;2;1;70;800 €;Piso
3473;Sant Gervasi - Bonanova;;1;50;1.250 €;Piso
3474;Pedralbes;6;6;275;5.300 €;Piso
3475;Gòtic;2;2;80;2.400 €;Piso
3476;Gòtic;2;2;80;2.150 €;Piso
3477;Camp d´en Grassot - Gràcia N.;3;1;66;850 €;Piso
3478;Tres Torres;;1;38;900 €;Loft
3479;Esquerra Alta de l´Eixample;3;1;80;1.100 €;Piso
3480;Sant Gervasi - Bonanova;4;2;120;1.900 €;Piso
3481;Sant Gervasi - Bonanova;2;3;115;1.300 €;Piso
3482;Dreta de l´Eixample;3;2;151;4.900 €;Piso
3483;Tres Torres;;1;38;900 €;Loft
3484;Esquerra Alta de l´Eixample;3;1;80;1.100 €;Piso
3485;Barceloneta;2;1;93;1.950 €;Piso
3486;Sant Gervasi - Galvany;4;3;215;4.500 €;Piso
3487;St. Pere - Sta. Caterina - El Born;2;1;65;1.275 €;Piso
3488;Sarrià;3;1;80;1.800 €;Piso
3489;Dreta de l´Eixample;;1;55;2.100 €;Ático
3490;Les Corts;4;2;120;2.500 €;Dúplex
3491;Esquerra Baixa de l´Eixample;2;2;93;2.600 €;Piso
3492;Les Corts;;1;45;915 €;Piso
3493;Pedralbes;4;4;220;4.000 €;Piso
3494;Diagonal Mar - La Mar Bella;3;3;125;2.050 €;Ático
3495;Sant Martí;;1;50;930 €;Piso
3496;Tres Torres;4;3;160;3.300 €;Piso
3497;Vila de Gràcia;2;2;100;2.700 €;Piso
3498;Gòtic;;;50;1.035 €;Apartamento
